iter	Passed	Remaining
724	3442	1305
725	3446	1300
726	3450	1295
727	3456	1291
728	3461	1286
729	3465	1281
730	3471	1277
731	3475	1272
732	3479	1267
733	3484	1262
734	3489	1257
735	3492	1252
736	3496	1247
737	3502	1243
738	3507	1238
739	3511	1233
740	3516	1229
741	3521	1224
742	3526	1219
743	3531	1215
744	3537	1210
745	3541	1205
746	3547	1201
747	3551	1196
748	3557	1192
749	3566	1188
750	3571	1184
751	3578	1180
752	3581	1174
753	3585	1169
754	3591	1165
755	3596	1160
756	3601	1156
757	3610	1152
758	3618	1149
759	3624	1144
760	3630	1140
761	3633	1134
762	3639	1130
763	3646	1126
764	3652	1121
765	3656	1116
766	3659	1111
767	3663	1106
768	3670	1102
769	3673	1097
770	3677	1092
771	3680	1087
772	3685	1082
773	3690	1077
774	3694	1072
775	3699	1067
776	3703	1062
777	3706	1057
778	3709	1052
779	3714	1047
780	3718	1042
781	3722	1037
782	3726	1032
783	3729	1027
784	3733	1022
785	3737	1017
786	3740	1012
787	3745	1007
788	3749	1002
789	3752	997
790	3756	992
791	3760	987
792	3764	982
793	3768	977
794	3772	972
795	3777	968
796	3781	963
797	3784	958
798	3788	953
799	3792	948
800	3796	943
801	3799	938
802	3803	933
803	3808	928
804	3812	923
805	3815	918
806	3820	913
807	3823	908
808	3827	903
809	3830	898
810	3834	893
811	3838	888
812	3841	883
813	3845	878
814	3849	873
815	3853	868
816	3857	863
817	3860	858
818	3865	854
819	3869	849
820	3872	844
821	3876	839
822	3880	834
823	3884	829
824	3887	824
825	3891	819
826	3896	815
827	3902	810
828	3907	806
829	3911	801
830	3914	796
831	3918	791
832	3921	786
833	3925	781
834	3929	776
835	3933	771
836	3937	766
837	3940	761
838	3946	757
839	3949	752
840	3953	747
841	3959	743
842	3964	738
843	3968	733
844	3972	728
845	3976	723
846	3980	719
847	3984	714
848	3989	709
849	3993	704
850	3996	699
851	4000	694
852	4003	689
853	4007	685
854	4011	680
855	4014	675
856	4019	670
857	4024	666
858	4027	661
859	4031	656
860	4037	651
861	4041	647
862	4046	642
863	4053	637
864	4057	633
865	4062	628
866	4067	623
867	4071	619
868	4076	614
869	4082	610
870	4086	605
871	4091	600
872	4095	595
873	4098	590
874	4102	586
875	4106	581
876	4114	577
877	4120	572
878	4127	568
879	4131	563
880	4137	558
881	4142	554
882	4147	549
883	4152	544
884	4157	540
885	4161	535
886	4165	530
887	4169	525
888	4177	521
889	4182	516
890	4187	512
891	4191	507
892	4196	502
893	4201	498
894	4207	493
895	4211	488
896	4215	484
897	4219	479
898	4222	474
899	4226	469
900	4230	464
901	4234	460
902	4239	455
903	4243	450
904	4246	445
905	4251	441
906	4255	436
907	4258	431
908	4261	426
909	4266	421
910	4270	417
911	4273	412
912	4277	407
913	4280	402
914	4284	397
915	4289	393
916	4293	388
917	4299	384
918	4302	379
919	4306	374
920	4310	369
921	4314	365
922	4317	360
923	4321	355
924	4325	350
925	4330	346
926	4334	341
927	4337	336
928	4342	331
929	4346	327
930	4349	322
931	4353	317
932	4359	313
933	4362	308
934	4366	303
935	4370	298
936	4374	294
937	4377	289
938	4381	284
939	4385	279
940	4390	275
941	4394	270
942	4398	265
943	4402	261
944	4406	256
945	4410	251
946	4415	247
947	4422	242
948	4426	237
949	4430	233
950	4435	228
951	4439	223
952	4444	219
953	4448	214
954	4453	209
955	4458	205
956	4464	200
957	4471	196
958	4475	191
959	4482	186
960	4487	182
961	4491	177
962	4497	172
963	4501	168
964	4505	163
965	4509	158
966	4515	154
967	4519	149
968	4522	144
969	4526	140
970	4530	135
971	4534	130
972	4537	125
973	4543	121
974	4547	116
975	4551	111
976	4554	107
977	4558	102
978	4562	97
979	4565	93
980	4569	88
981	4574	83
982	4578	79
983	4581	74
984	4585	69
985	4589	65
986	4593	60
987	4597	55
988	4602	51
989	4606	46
990	4610	41
991	4614	37
992	4618	32
993	4621	27
994	4625	23
995	4628	18
996	4635	13
997	4639	9
998	4643	4
999	4647	0
